0.000000	8.658555	SPEAKER_00
8.658159	16.779106	SPEAKER_01
17.989806	28.774357	SPEAKER_00
29.042508	30.496120	SPEAKER_01
30.604647	37.432131	SPEAKER_00
37.523251	47.819761	SPEAKER_01
50.967047	60.693790	SPEAKER_00
61.182162	63.176348	SPEAKER_01
63.230611	66.323634	SPEAKER_00
67.802316	68.412781	SPEAKER_01
70.325572	72.957354	SPEAKER_00
73.649215	77.596888	SPEAKER_01
77.569757	82.019369	SPEAKER_00
82.019369	90.538747	SPEAKER_01
92.180220	101.757738	SPEAKER_01
101.812001	103.156626	SPEAKER_00
103.156626	104.229271	SPEAKER_01
106.921633	108.326023	SPEAKER_00
108.945282	113.598965	SPEAKER_01
113.598965	115.696094	SPEAKER_00
116.185732	116.820945	SPEAKER_01
117.138021	123.153231	SPEAKER_00
125.423805	130.703935	SPEAKER_00
131.153657	133.135246	SPEAKER_01
133.588320	136.660749	SPEAKER_00
138.882573	146.746228	SPEAKER_00
146.814000	147.999793	SPEAKER_01
148.368331	152.263397	SPEAKER_00
152.363880	154.575630	SPEAKER_01
154.773870	156.969958	SPEAKER_00
157.254042	157.975025	SPEAKER_01
158.207910	162.818711	SPEAKER_00
164.774525	171.371488	SPEAKER_00
172.557738	176.054033	SPEAKER_01
176.843122	183.185109	SPEAKER_00
183.934675	185.714173	SPEAKER_01
187.837243	189.842107	SPEAKER_01
190.515246	190.699369	SPEAKER_00
191.289207	192.548394	SPEAKER_01
194.397119	200.491573	SPEAKER_00
201.582086	205.178749	SPEAKER_01
205.759069	210.029837	SPEAKER_00
210.818573	215.925763	SPEAKER_01
216.569076	217.948452	SPEAKER_01
218.441438	224.735382	SPEAKER_00
224.735382	247.672713	SPEAKER_01
247.908513	249.654377	SPEAKER_00
249.654377	253.608148	SPEAKER_01
254.149644	258.455896	SPEAKER_00
257.251050	260.595953	SPEAKER_01
261.426776	264.544724	SPEAKER_01
264.057384	266.794031	SPEAKER_00
266.794031	267.496865	SPEAKER_01
269.016073	273.488532	SPEAKER_01
273.660654	275.230850	SPEAKER_00
275.570353	279.425916	SPEAKER_01
280.012395	284.519569	SPEAKER_00
285.646943	295.711868	SPEAKER_01
295.711868	298.847903	SPEAKER_00
